TICKER,MARKET,YEAR,LISTPRICE,VOLUMEIPODAY,OPENPRICEIPODAY,HIGHESTPRICEIPODAY,CLOSINGPRICEIPODAY,NEWSHARES,TOTALAPPLICATIONS,TOTALAPPLICATIONSHARES,TOTALBALLOTINGOSCBED,BUMIAPPLICATIONS,BUMIAPPLICATIONSHARES,BUMIBALLOTINGOSCBED,XBUMIAPPLICATIONS,XBUMIAPPLICATIONSHARES,XBUMIBALLOTINGOSCBED,ELIGPERSONSSHARES,PVPLACEMENTSHARES,OFFERFORSALE,CAPITALRAISED,PUBLICISSUENEWSHARES,ENLARGEDSHARECAPITAL,MARKETCAPONLISTING
EDELTEQ,ACE,2023,0.24,1045192,0.75,0.8,0.73,,,,152.03,,,,,,,,,,,,,
SYNERGY,ACE,2023,0.43,823799,0.38,0.405,0.35,,,,14.02,,,,,,,,,,,,,
RADIUM,ACE,2023,0.5,2266686,0.35,0.42,0.385,,,,X,,,,,,,,,,,,,
DXN,MAIN,2023,0.7,2164112,0.69,0.705,0.665,,,,3.2,,,,,,,,,,,,,
OPPSTAR,ACE,2023,0.63,1995580,2.05,2.95,2.43,,,,77,,,,,,,,,,,,,
CAPE EMS,MAIN,2023,0.9,2535753,1.42,1.5,1.5,,,,17.82,,,,,,,,,,,,,
VESTLAND,ACE,2023,0.33,3521062,0.38,0.465,0.39,,,,18.38,,,,,,,,,,,,,
TT VISION,ACE,2023,0.34,1558505,1.49,1.7,1.28,,,,89.15,,,,,,,,,,,,,
KITACON,ACE,2023,0.68,1566974,0.99,0.99,0.75,,,,11.46,,,,,,,,,,,,,
WELLSPIRE,ACE,2023,0.23,2317387,0.33,0.59,0.43,,,,11,,,,,,,,,,,,,
NATIONGATE,ACE,2023,0.38,6549271,0.81,1,1,,,,16.49,,,,,,,,,,,,,
DS SIGMA,ACE,2023,0.55,2218685,0.81,0.83,0.62,,,,25.77,,,,,,,,,,,,,
LP GLOBAL,ACE,2023,0.3,2553750,0.42,0.55,0.545,,,,36.14,,,,,,,,,,,,,
ITMAX,MAIN,2022,1.07,1307656,1.52,1.55,1.38,,,,18.2,,,,,,,,,,,,,
LEFORM,ACE,2022,0.23,1156192,0.195,0.205,0.185,,,,1.42,,,,,,,,,,,,,
INFOMINA,ACE,2022,0.4,1726278,0.6,0.64,0.535,,,,21.39,,,,,,,,,,,,,
ECA INTEGRATED,ACE,2022,0.17,1444525,0.65,0.805,0.755,,,,110.17,,,,,,,,,,,,,
BETAMEK,ACE,2022,0.5,2604588,0.615,1,0.71,,,,17.06,,,,,,,,,,,,,
SUNVIEW,ACE,2022,0.29,1275711,0.595,0.61,0.46,,,,63.19,,,,,,,,,,,,,
COSMOS,ACE,2022,0.35,1326655,0.5,0.6,0.56,,,,58,,,,,,,,,,,,,
PTRB,ACE,2022,0.36,1790966,0.37,0.39,0.37,,,,24,,,,,,,,,,,,,
SNS,ACE,2022,0.25,3681373,0.25,0.27,0.265,,,,6.95,,,,,,,,,,,,,
AMEELITEREIT,MAIN,2022,1.13,20052,1.14,1.2,1.16,,,,2.46,,,,,,,,,,,,,
AGMO,ACE,2022,0.26,1489809,0.8,0.82,0.785,,,,120.15,,,,,,,,,,,,,
UNIQUEFIRE,ACE,2022,0.26,855471,0.21,0.24,0.225,,,,5.08,,,,,,,,,,,,,
UMEDIC,ACE,2022,0.32,1234822,0.5,0.55,0.44,,,,46.81,,,,,,,,,,,,,
ECOSCIENCE,ACE,2022,0.3,667855,0.29,0.295,0.26,,,,7.23,,,,,,,,,,,,,
INFOLINETEC,ACE,2022,0.32,1149367,0.33,0.35,0.305,,,,60.9,,,,,,,,,,,,,
SENGFONG,MAIN,2022,0.75,975935,0.75,0.75,0.675,,,,3.09,,,,,,,,,,,,,
ORGABIO,ACE,2022,0.31,1019776,0.36,0.4,0.34,,,,50.86,,,,,,,,,,,,,
SIAB,ACE,2022,0.3,1883042,0.31,0.34,0.31,,,,50.18,,,,,,,,,,,,,
FARMFRESH,MAIN,2022,1.35,3304055,1.7,1.86,1.72,,,,18.74,,,,,,,,,,,,,
PAPPAJACK,ACE,2022,0.3,2023024,0.39,0.4,0.395,,,,21.73,,,,,,,,,,,,,
MNHOLDINGS,ACE,2022,0.21,2125489,0.26,0.275,0.235,,,,118.48,,,,,,,,,,,,,
LGMS,ACE,2022,0.5,2469975,0.6,0.845,0.845,,,,25.39,,,,,,,,,,,,,
YXPRECIOUSMETALS,ACE,2022,0.28,1431628,0.28,0.305,0.27,,,,17.65,,,,,,,,,,,,,
SFPTECH,ACE,2022,0.3,3289827,0.6,0.7,0.67,,,,41.61,,,,,,,,,,,,,
UNITRADE,ACE,2022,0.32,2468568,0.265,0.3,0.3,,,,2.35,,,,,,,,,,,,,
CENGILD,ACE,2022,0.33,1628091,0.495,0.51,0.465,,,,44.35,,,,,,,,,,,,,
CNERGENZ,ACE,2022,0.58,1098659,0.605,0.615,0.58,,,,40.32,,,,,,,,,,,,,
YEW LEE,ACE,2022,0.28,1623805,0.285,0.3,0.29,,,,33.05,,,,,,,,,,,,,
CORAZA,ACE,2022,0.28,1937841,0.7,0.705,0.645,2140000,26781,2860000000,132.5,12482,1010000000,93.7,14299,1850000000,171.4,21400000,96400000,21400000,33000000,117800000,428300000,119900000
SENHENG,MAIN,2022,1.07,1635486,0.9,1.04,0.855,30000000,16548,343230000,10.44,6869,93310000,5.22,9679,249920000,15.66,22500000,149500000,139500000,,250000000,,
TUJUSETIA,MAIN,2021,0.7,1145707,0.775,0.875,0.74,,,,42.07,,,,,,,,,,,,,
YENHER,MAIN,2021,0.95,618271,0.995,1,0.9,,,,13.8,,,,,,,,,,,,,
CTOS,MAIN,2021,1.1,3663593,1.5,1.76,1.62,,,,27.57,,,,,,,,,,,,,
AURELIUS,MAIN,2021,1.36,1870413,1.41,1.85,1.7,,,,20.27,,,,,,,,,,,,,
SWIFT,MAIN,2021,1.03,1585591,1.08,1.13,0.96,,,,18.85,,,,,,,,,,,,,
HPP,ACE,2021,0.36,2829182,0.57,0.71,0.71,,,,33.44,,,,,,,,,,,,,
MOBILIA,ACE,2021,0.23,3105015,0.65,0.76,0.555,,,,92.17,,,,,,,,,,,,,
TELADAN,ACE,2021,0.48,1967955,0.6,0.64,0.57,,,,17.47,,,,,,,,,,,,,
FLEXIDYNAMIC,ACE,2021,0.2,1079398,0.69,0.72,0.43,,,,155.72,,,,,,,,,,,,,
VOLCANO,ACE,2021,0.35,1044614,0.7,0.705,0.485,,,,176.6,,,,,,,,,,,,,
PEKAT,ACE,2021,0.32,2432996,0.85,0.93,0.815,,,,75.99,,,,,,,,,,,,,
NESTCON,ACE,2021,0.28,2570554,0.3,0.37,0.32,,,,57.13,,,,,,,,,,,,,
RAMSSOL,ACE,2021,0.45,1501863,0.7,0.73,0.51,,,,102.88,,,,,,,,,,,,,
HAILY,ACE,2021,0.68,963390,0.79,0.815,0.74,,,,38.81,,,,,,,,,,,,,
CEKD,ACE,2021,0.48,983295,0.6,0.62,0.545,,,,131.61,,,,,,,,,,,,,
ECOMATE,ACE,2021,0.33,1454417,0.68,0.705,0.485,,,,98.94,,,,,,,,,,,,,
ACO,ACE,2021,0.28,472273,0.2,0.245,0.16,,,,15.53,,,,,,,,,,,,,
MRDIY,MAIN,2020,1.6,4101546,1.6,1.8,1.75,,,,3.91,,,,,,,,,,,,,
ECONFRAME,ACE,2020,0.28,2945498,0.345,0.435,0.37,,,,40.23,,,,,,,,,,,,,
ANEKAJARINGAN,ACE,2020,0.33,1237112,0.35,0.35,0.29,,,,12.68,,,,,,,,,,,,,
SOUTHERNCABLE,ACE,2020,0.34,3049488,0.335,0.385,0.33,,,,10.5,,,,,,,,,,,,,
SAMAIDEN,ACE,2020,0.48,1552718,1,1.12,0.805,,,,65.91,,,,,,,,,,,,,
OPTIMAX,ACE,2020,0.3,1068858,0.71,0.76,0.685,,,,82,,,,,,,,,,,,,
TCS,ACE,2020,0.23,2070206,0.585,0.605,0.45,,,,33.39,,,,,,,,,,,,,
OCEANVANTAGE,ACE,2020,0.26,2169094,0.43,0.55,0.53,,,,15.9,,,,,,,,,,,,,
RESERVOIRLINK,ACE,2020,0.41,1892735,0.65,0.79,0.515,,,,11.49,,,,,,,,,,,,,
INNATURE,MAIN,2020,0.68,1437031,0.72,0.74,0.655,,,,13.43,,,,,,,,,,,,,
POWERWELL,ACE,2020,0.25,3041193,0.255,0.3,0.285,,,,24.27,,,,,,,,,,,,,
SOLARVEST,ACE,2019,0.35,298350,0.745,0.805,0.77,,,,35,,,,,,,,,,,,,
SDS,ACE,2019,0.23,1086974,0.26,0.27,0.255,,,,11.34,,,,,,,,,,,,,
MTAG,ACE,2019,0.53,2880588,0.7,0.7,0.44,,,,3.84,,,,,,,,,,,,,
ISTONE,ACE,2019,0.16,4479182,0.25,0.275,0.245,,,,11.56,,,,,,,,,,,,,
UWC,MAIN,2019,0.82,2007124,1.1,1.4,1.4,,,,4.98,,,,,,,,,,,,,
MESTRON,ACE,2019,0.16,3677031,0.2,0.21,0.165,,,,17.53,,,,,,,,,,,,,
GREATECH,ACE,2019,0.61,1927214,0.635,0.78,0.74,,,,9.41,,,,,,,,,,,,,
HPMT,MAIN,2019,0.56,711873,0.58,0.58,0.5,,,,8.27,,,,,,,,,,,,,
LEONGHUP,MAIN,2019,1.1,2153991,1.12,1.19,1.1,,,,3.64,,,,,,,,,,,,,
GAGASANNADI,ACE,2019,0.3,1185984,0.39,0.4,0.305,,,,20.2,,,,,,,,,,,,,
DPI,ACE,2019,0.25,1284897,0.345,0.35,0.27,,,,23,,,,,,,,,,,,,
SPRINGART,ACE,2019,0.25,957964,0.25,0.26,0.25,,,,14.7,,,,,,,,,,,,,
AME ELITE,MAIN,2019,1.3,497515,1.28,1.59,1.55,,,,4.39,,,,,,,,,,,,,
TASHIN,ACE,2019,0.58,531492,0.58,0.58,0.485,,,,5.42,,,,,,,,,,,,,
KIM HIN JOO,MAIN,2019,0.43,353804,0.39,0.39,0.35,,,,7.67,,,,,,,,,,,,,
TECHBOND,MAIN,2018,0.66,788076,0.805,0.885,0.86,11500000,8158,289750000,24.2,,,,,,,,,,,,,
SECUREMETRIC,ACE,2018,0.25,1514487,0.45,0.56,0.535,,,,20.26,,,,,,,,,,,,,
RADIANT,ACE,2018,0.23,1795671,0.5,0.65,0.53,,,,6.7,,,,,,,,,,,,,
NOVAWELLNESS,ACE,2018,0.55,879204,0.65,0.82,0.76,,,,2.84,,,,,,,,,,,,,
REVENUE,ACE,2018,0.37,1882969,0.55,0.69,0.625,,,,11.2,,,,,,,,,,,,,
MI,MAIN,2018,1.42,736832,1.39,1.63,1.54,,,,1.16,,,,,,,,,,,,,
TRIMODE,ACE,2018,0.61,38240,0.5,0.555,0.525,,,,3.74,,,,,,,,,,,,,
GDB,ACE,2018,0.35,423303,0.36,0.36,0.325,,,,43,,,,,,,,,,,,,
QES,ACE,2018,0.19,1230323,0.245,0.245,0.22,,,,19,,,,,,,,,,,,,
WEGMANS,ACE,2018,0.29,828043,0.305,0.32,0.295,,,,16.35,,,,,,,,,,,,,
BINASAT,ACE,2018,0.46,726398,0.6,0.65,0.59,,,,34.23,,,,,,,,,,,,,
ASASTERA,ACE,2017,0.25,1599203,0.33,0.33,0.3,,,,57.33,,,,,,,,,,,,,
LOTTE,MAIN,2017,6.5,454774,6.5,6.53,6.38,,,,,,,,,,,,,,,,,
ADVANCECON,MAIN,2017,0.63,1316451,0.74,0.855,0.845,,,,10.28,,,,,,,,,,,,,
INTABINA,ACE,2017,0.25,1264232,0.33,0.33,0.305,,,,42.74,,,,,,,,,,,,,
CABNET,ACE,2017,0.56,245745,0.68,0.745,0.71,,,,48,,,,,,,,,,,,,
EVERSAFE,ACE,2017,0.36,737476,0.46,0.465,0.41,,,,65,,,,,,,,,,,,,
ECOWORLD,MAIN,2017,1.2,4054,1.35,1.37,1.36,,,,9,,,,,,,,,,,,,
SERBADINAMIK,MAIN,2017,1.5,660261,1.53,1.59,1.52,,,,4.96,,,,,,,,,,,,,
KIPREIT,MAIN,2017,1,182410,1.04,1.04,0.995,,,,5.07,,,,,,,,,,,,,
MATANG,ACE,2017,0.13,3039148,0.14,0.155,0.14,,,,4.21,,,,,,,,,,,,,
HLT,ACE,2017,0.45,50540,0.55,0.555,0.52,,,,24.64,,,,,,,,,,,,,